chunk_size,row_range,sum_aggregation_time
50,0–49,0.26451492309570057
100,50–149,0.47201085090636713
150,150–299,0.6978390216827317
200,300–499,0.9136164188384914
250,500–749,1.1457576751708858
300,750–1049,1.371484041213974
350,1050–1399,1.853228569030746
400,1400–1799,2.136878490447978
450,1800–2249,2.216620445251443
500,2250–2749,2.3380038738250484
550,2750–3299,2.564010858535741
600,3300–3899,2.8143982887267773
650,3900–4549,3.088945388793912
700,4550–5249,3.227541685104337
750,5250–5999,3.454109668731653
800,6000–6799,3.9783952236175137
850,6800–7649,4.038110733032182
900,7650–8549,4.2282361984252494
950,8550–9499,4.401227474212599
1000,9500–10499,4.780044078826855
